Plug: https://twitter.com/t0x0pg

Domain	Count
us.army.mil	6788
navy.mil	1665
usmc.mil	809
mail.mil	206
gimail.af.mil	127
va.gov	104
bop.gov	88
ky.gov	73
med.navy.mil	62
usarmy.mil	55
us.af.mil	54
usps.gov	52
uscg.mil	46
dhs.gov	45
whitehouse.gov	44
ssa.gov	42
usarec.army.mil	37
state.gov	33
tinker.af.mil	33
conus.army.mil	32
cvn74.navy.mil	32
cvn76.navy.mil	32
gsa.gov	32
nmci.usmc.mil	31
ang.af.mil	30
mfr.usmc.mil	30
cvn75.navy.mil	29
cvn71.navy.mil	28
nasa.gov	28
cvn69.navy.mil	27
kennedy.navy.mil	27
schools.nyc.gov	27
fe.navy.mil	26
hill.af.mil	26
cvn73.navy.mil	25
cdc.gov	23
army.mil	22
dc.gov	22
montgomerycountymd.gov	22
robins.af.mil	22
cvn72.navy.mil	21
marines.usmc.mil	21
michigan.gov	21
ng.army.mil	21
okc.gov	21
cvn68.navy.mil	20
dcma.mil	20
1mardiv.usmc.mil	18
cg61.navy.mil	18
ffg49.navy.mil	18
lhd6.navy.mil	18
3maw.usmc.mil	17
faa.gov	17
tva.gov	17
dla.mil	16
lha5.navy.mil	16
lhd3.navy.mil	16
usar.army.mil	16
amedd.army.mil	15
cvn65.navy.mil	15
ddg64.navy.mil	15
dol.gov	15
ffg58.navy.mil	15
msc.navy.mil	15
2mawnr.usmc.mil	14
cg71.navy.mil	14
eu.navy.mil	14
lhd4.navy.mil	14
lhd5.navy.mil	14
lpd15.navy.mil	14
lpd8.navy.mil	14
maine.gov	14
panynj.gov	14
pendleton.usmc.mil	14
truman.navy.mil	14
cg57.navy.mil	13
cg64.navy.mil	13
cg72.navy.mil	13
hud.gov	13
lhd7.navy.mil	13
nellis.af.mil	13
utah.gov	13
as39.navy.mil	12
cg69.navy.mil	12
cg70.navy.mil	12
cvn77.navy.mil	12
ddg61.navy.mil	12
ddg99.navy.mil	12
dfas.mil	12
gmail.gov	12
US.army.mil	12
azcorrections.gov	11
baltimorecity.gov	11
cg68.navy.mil	11
cvn70.navy.mil	11
ddg79.navy.mil	11
enterprise.navy.mil	11
lhd8.navy.mil	11
us.mil	11
usace.army.mil	11
usdoj.gov	11
washington.navy.mil	11
3mawcpen.usmc.mil	10
ddg51.navy.mil	10
ffg48.navy.mil	10
ffg59.navy.mil	10
langley.af.mil	10
lhd1.navy.mil	10
lincoln.navy.mil	10
navsoc.socom.mil	10
nps.gov	10
pa.gov	10
aoc.gov	9
beale.af.mil	9
cg54.navy.mil	9
ddg52.navy.mil	9
ddg73.navy.mil	9
ddg91.navy.mil	9
honolulu.gov	9
lpd7.navy.mil	9
noaa.gov	9
phila.gov	9
riversideca.gov	9
sandiego.gov	9
scott.af.mil	9
stennis.navy.mil	9
usgs.gov	9
1fssg.usmc.mil	8
cg60.navy.mil	8
ddg57.navy.mil	8
ddg65.navy.mil	8
ddg80.navy.mil	8
detroitmi.gov	8
dot.gov	8
epa.gov	8
fairfaxcounty.gov	8
ffg28.navy.mil	8
ffg29.navy.mil	8
ffg40.navy.mil	8
ffg46.navy.mil	8
indy.gov	8
leo.gov	8
lha4.navy.mil	8
lsd43.navy.mil	8
mail.nih.gov	8
nashville.gov	8
nga.mil	8
vdot.virginia.gov	8
wpafb.af.mil	8
atlantaga.gov	7
cdcr.ca.gov	7
cg52.navy.mil	7
cg56.navy.mil	7
cg58.navy.mil	7
cnrc.navy.mil	7
ddg67.navy.mil	7
ddg71.navy.mil	7
ddg92.navy.mil	7
ddg98.navy.mil	7
doc1.wa.gov	7
eisenhower.navy.mil	7
ffg36.navy.mil	7
ffg45.navy.mil	7
ffg55.navy.mil	7
fnal.gov	7
fortlauderdale.gov	7
lha1.navy.mil	7
lpd21.navy.mil	7
lsd50.navy.mil	7
mail.house.gov	7
memphistn.gov	7
moody.af.mil	7
roosevelt.navy.mil	7
stlouis-mo.gov	7
tarawa.navy.mil	7
vinson.navy.mil	7
aol.gov	6
arl.army.mil	6
bernco.gov	6
bloomington.in.gov	6
bls.gov	6
bnl.gov	6
cg53.navy.mil	6
cg59.navy.mil	6
cg62.navy.mil	6
ddg76.navy.mil	6
ddg81.navy.mil	6
ddg95.navy.mil	6
ddg97.navy.mil	6
edwards.af.mil	6
eglin.af.mil	6
fda.hhs.gov	6
ffg56.navy.mil	6
irs.gov	6
jpl.nasa.gov	6
lbl.gov	6
lcc19.navy.mil	6
longbeach.gov	6
lsd51.navy.mil	6
luke.af.mil	6
mcguire.af.mil	6
tn.gov	6
us.army.gov	6
usafa.af.mil	6
uspis.gov	6
uspto.gov	6
vicksburg.navy.mil	6
2mawcp.usmc.mil	5
ako.mil	5
arcent.army.mil	5
augustaga.gov	5
azdes.gov	5
boxer.navy.mil	5
cabq.gov	5
cdfa.ca.gov	5
cg55.navy.mil	5
cg66.navy.mil	5
cityofrochester.gov	5
columbus.gov	5
ddg53.navy.mil	5
ddg60.navy.mil	5
ddg68.navy.mil	5
ddg83.navy.mil	5
ddg84.navy.mil	5
ddg87.navy.mil	5
denver.navy.mil	5
dot.ca.gov	5
dpw.lacounty.gov	5
ed.gov	5
fbi.gov	5
ffg38.navy.mil	5
ffg43.navy.mil	5
ffg50.navy.mil	5
ffg51.navy.mil	5
ffg52.navy.mil	5
gettysburg.navy.mil	5
hartford.gov	5
houstontx.gov	5
hurlburt.af.mil	5
iraq.centcom.mil	5
lackland.af.mil	5
lanl.gov	5
lsd45.navy.mil	5
maryland.gov	5
milwaukee.gov	5
monterey.navy.mil	5
ncdot.gov	5
nist.gov	5
nmcsd.med.navy.mil	5
norfolk.gov	5
nsweast.socom.mil	5
nyniag.ang.af.mil	5
peleliu.navy.mil	5
